Date,device_SN,device_Model,device_Age,processor,cores,graphics,CPU_Utilization,Memory Utilization,diskIO Utilization,List Of Applications Running,Crashed Applications,IsApplicationCrashed
1/4/2024,000654JT7,ELITEBOOK G6,3,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,8,Citrix Indirect Display Adapter|Intel(R) UHD Graphics 620,30,55,45,"Chrome, Media Player, Image Editor, Teams",Null,N
1/4/2024,000654JT8,PRODESK 400 G4 DM (TAA),1,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,4,Citrix Indirect Display Adapter|Intel(R) UHD Graphics 630,20,70,10,"Outlook, Python, Chrome, Teams, Games, Intellij",Null,N
1/4/2024,000654JT9,Vostro 3000,2,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,4,Citrix Indirect Display Adapter|Intel(R) UHD Graphics 620,95,70,35,"Chrome, Media Player, Image Editor, Teams"," Image Editor, Teams",Y
1/4/2024,000654JT10,ELITEDESK 800 G5 DESKTOP MINI,1,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,4,Intel(R) UHD Graphics 630,90,70,80,"Edge, Google Drive, Chrome, Teams, Spotify, Intellij","Google Drive, Chrome",Y
1/4/2024,000654JT11,ELITEDESK 800 G5 DESKTOP MINI,4,Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,4,Intel(R) UHD Graphics 630,45,30,75,"Chrome, Media Player, Image Editor, Teams"," Media Player, Image Editor",Y
1/4/2024,000654JT12,ELITEBOOK G6,3,"AMD A10-9600P RADEON R5, 10 COMPUTE CORES 4C+6G",4,Intel(R) UHD Graphics 630,90,60,60,"Edge, Google Drive, Chrome, Teams, Spotify, Intellij","Google Drive, Chrome, Teams",Y
1/4/2024,000654JT13,Chromebook 14,4,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,6,Intel(R) UHD Graphics 630,35,95,90,"Powerpoint, Excel, Chrome, Outlook, Games, Zoom","Games, Zoom",Y
1/4/2024,000654JT14,PRODESK 400 G7,3,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,8,Citrix Indirect Display Adapter|Intel(R) UHD Graphics,90,60,75,"Outlook, Image Editor, Chrome, Teams, Games, Python","Outlook, Image Editor",Y
1/4/2024,000654JT15,PRODESK 400 G7,4,Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,6,Intel(R) UHD Graphics 620,100,55,90,"Edge, Google Drive, Chrome, Teams, Spotify, Intellij","Edge, Google Drive, Chrome",Y
1/4/2024,000654JT16,Chromebook 14,2,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,6,Citrix Indirect Display Adapter|Intel(R) UHD Graphics 630,60,30,50,"Outlook, Zoom, Chrome, Teams, Edge, Intellij",Null,N
1/4/2024,000654JT17,ELITEDESK 800 G6 DESKTOP MINI PC,1,Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz,4,Intel(R) UHD Graphics 630,20,85,45,"Outlook, VSCode, Chrome, spotify, Games, Excel"," Games, Excel",Y
1/4/2024,000654JT18,PRODESK 400 G7,4,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,8,Citrix Indirect Display Adapter|Intel(R) UHD Graphics,70,35,45,"Outlook, Zoom, Chrome, Teams, Edge, Intellij",Null,N
1/4/2024,000654JT19,PRODESK 400 G7,1,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,8,Intel(R) UHD Graphics 630,90,10,45,"Outlook, Zoom, Chrome, Teams, Edge, Intellij","Edge, Intellij",Y
1/4/2024,000654JT20,OPTIPLEX 7040,2,"AMD A10-9600P RADEON R5, 10 COMPUTE CORES 4C+6G",8,Intel(R) HD Graphics 4600,30,75,90,"Powerpoint, Excel, Chrome, Outlook, Games, Zoom"," Games, Zoom",Y
1/4/2024,000654JT21,Chromebook 14,4,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,8,Intel(R) UHD Graphics 630,35,90,30,"Powerpoint, Excel, Chrome, Outlook, Games, Zoom"," Outlook, Games",Y
1/4/2024,000654JT22,ELITEBOOK G6,2,Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,6,Intel(R) UHD Graphics 620,90,60,30,"Outlook, Python, Chrome, Teams, Games, Intellij",Teams,Y
1/4/2024,000654JT23,PRODESK 600 G5 SFF,1,Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,8,Intel(R) HD Graphics 4600,90,35,95,"Outlook, VSCode, Chrome, spotify, Games, Excel"," Games, Excel",Y
1/4/2024,000654JT24,Vostro 3000,1,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,4,AMD Radeon(TM) R5 Graphics,75,75,50,"Outlook, VSCode, Chrome, spotify, Games, Excel"," Games, Excel",Y
1/4/2024,000654JT25,200 G3 AIO,1,Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,4,Intel(R) UHD Graphics 630,75,85,55,"Outlook, Zoom, Chrome, Teams, Edge, Intellij","Edge, Intellij",Y
1/4/2024,000654JT26,PRODESK 400 G4 DM (TAA),4,Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz,8,Citrix Indirect Display Adapter|Intel(R) UHD Graphics 620,35,70,85,"Outlook, Zoom, Chrome, Teams, Edge, Intellij","Edge, Intellij",Y
1/4/2024,000654JT27,OPTIPLEX 7040,2,Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz,6,Intel(R) UHD Graphics 630,95,30,30,"Powerpoint, Excel, Chrome, Outlook, Games, Zoom","Outlook, Games, Zoom",Y
1/4/2024,000654JT28,Chromebook 14,3,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,4,Intel(R) UHD Graphics 630,100,30,30,"Outlook, Image Editor, Chrome, Teams, Games, Python","Outlook, Games",Y
1/4/2024,000654JT29,PRODESK 400 G4 DM (TAA),4,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,8,Citrix Indirect Display Adapter|Intel(R) UHD Graphics,30,90,20,"Chrome, Media Player, Image Editor, Teams",Teams,Y
1/4/2024,000654JT30,Chromebook 14,4,Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz,8,Citrix Indirect Display Adapter|Intel(R) UHD Graphics 630,60,30,80,"Edge, Google Drive, Chrome, Teams, Spotify, Intellij",Teams,Y
1/4/2024,000654JT31,Vostro 3000,1,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,6,Intel(R) UHD Graphics 630,80,55,55,"Edge, Google Drive, Chrome, Teams, Spotify, Intellij",Teams,Y
1/4/2024,000654JT32,Vostro 3000,3,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,4,Intel(R) UHD Graphics 630,100,60,95,"Chrome, Media Player, Image Editor, Teams","Media Player, Image Editor, Teams",Y
1/4/2024,000654JT33,ELITEBOOK X360 1030 G3,3,"AMD A10-9600P RADEON R5, 10 COMPUTE CORES 4C+6G",6,Intel(R) UHD Graphics 630,90,10,20,"Edge, Google Drive, Chrome, Teams, Spotify, Intellij","Teams, Spotify, Intellij",Y
1/4/2024,000654JT34,ELITEDESK 800 G5 DESKTOP MINI,1,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,8,Intel(R) UHD Graphics 620,45,75,80,"Outlook, Image Editor, Chrome, Teams","Chrome, Teams",Y
1/4/2024,000654JT35,ELITEBOOK X360 1030 G3,3,"AMD A10-9600P RADEON R5, 10 COMPUTE CORES 4C+6G",8,Intel(R) UHD Graphics 630,100,70,60,"Chrome, Media Player, Image Editor, Teams","Media Player, Image Editor, Teams",Y
1/4/2024,000654JT36,PRODESK 400 G4 DM (TAA),3,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,8,Intel(R) HD Graphics 4600,95,60,90,"Outlook, VSCode, Chrome, spotify, Games, Excel"," Games, Excel",Y
1/4/2024,000654JT37,ELITEDESK 800 G5 DESKTOP MINI,1,Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz,4,Intel(R) HD Graphics 4600,55,100,70,"Outlook, Image Editor, Chrome, Teams, Games, Python"," Chrome, Teams, Games",Y
1/4/2024,000654JT38,PRODESK 400 G7,4,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,6,Intel(R) UHD Graphics 630,80,35,70,"Outlook, Image Editor, Chrome, Teams, Games, Python"," Chrome, Teams, Games",Y
1/4/2024,000654JT39,ELITEDESK 800 G5 DESKTOP MINI,2,Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,8,Intel(R) UHD Graphics 630,30,10,75,"Outlook, VSCode, Chrome, spotify, Games, Excel",Excel,Y
1/4/2024,000654JT40,ELITEBOOK G7 NOTEBOOK PC,2,Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,4,Intel(R) UHD Graphics 630,100,90,75,"Outlook, Zoom, Chrome, Teams, Edge, Intellij","Teams, Edge, Intellij",Y
1/4/2024,000654JT41,Inspiron 5000,2,Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,4,Citrix Indirect Display Adapter|Intel(R) UHD Graphics 620,80,10,85,"Outlook, Python, Chrome, Teams, Games, Intellij", Intellij,Y
1/4/2024,000654JT42,OPTIPLEX 7040,4,Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz,8,Citrix Indirect Display Adapter|Intel(R) UHD Graphics,75,90,35,"Chrome, Media Player, Image Editor, Teams"," Image Editor, Teams",Y
1/4/2024,000654JT43,ELITEBOOK X360 1030 G3,4,Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz,4,Intel(R) UHD Graphics 630,20,80,35,"Chrome, Media Player, Image Editor, Teams",Teams,Y
1/4/2024,000654JT44,ELITEBOOK G7 NOTEBOOK PC,2,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,8,Intel(R) UHD Graphics 630,80,60,35,"Outlook, VSCode, Chrome, spotify, Games, Excel","Games, Excel",Y
1/4/2024,000654JT45,ELITEDESK 800 G6 DESKTOP MINI PC,3,Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz,4,Intel(R) UHD Graphics 630,20,85,100,"Outlook, Zoom, Chrome, Teams, Edge, Intellij","Teams, Edge, Intellij",Y
1/4/2024,000654JT46,ELITEBOOK X360 1030 G3,2,Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz,4,AMD Radeon(TM) R5 Graphics,100,75,90,"Chrome, Media Player, Image Editor, Teams","Media Player, Image Editor, Teams",Y
1/4/2024,000654JT47,ELITEBOOK G6,1,Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz,4,AMD Radeon(TM) R5 Graphics,90,50,100,"Outlook, VSCode, Chrome, spotify, Games, Excel","Games, Excel",Y
1/4/2024,000654JT48,ELITEBOOK G7 NOTEBOOK PC,2,Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz,6,Intel(R) UHD Graphics 630,45,35,85,"Powerpoint, Excel, Chrome, Outlook, Games, Zoom","Powerpoint, Exce",Y
1/4/2024,000654JT49,ELITEBOOK X360 1030 G3,1,Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz,6,Intel(R) UHD Graphics 630,85,35,35,"Outlook, Python, Chrome, Teams, Games, Intellij","Games, Intellij",Y
1/4/2024,000654JT50,PRODESK 400 G4 DM (TAA),2,Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz,6,Citrix Indirect Display Adapter|Intel(R) UHD Graphics,70,50,95,"Powerpoint, Excel, Chrome, Outlook, Games, Zoom"," Outlook, Games, Zoom",Y
1/4/2024,000654JT51,ELITEDESK 800 G6 DESKTOP MINI PC,3,Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz,4,Citrix Indirect Display Adapter|Intel(R) UHD Graphics 630,60,70,100,"Powerpoint, Excel, Chrome, Outlook, Games, Zoom"," Outlook, Games, Zoom",Y
1/4/2024,000654JT52,Chromebook 14,3,Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz,4,Intel(R) UHD Graphics 630,85,55,35,"Powerpoint, Excel, Chrome, Outlook, Games, Zoom"," Excel, Chrome, Outlook, Games, Zoom",Y
1/4/2024,000654JT53,ELITEBOOK G6,1,"AMD A10-9600P RADEON R5, 10 COMPUTE CORES 4C+6G",6,Citrix Indirect Display Adapter|Intel(R) UHD Graphics 630,70,80,45,"Outlook, Zoom, Chrome, Teams, Edge, Intellij", Intellij,Y
1/4/2024,000654JT54,PRODESK 400 G7,4,Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz,6,Intel(R) UHD Graphics 630,45,95,90,"Outlook, VSCode, Chrome, spotify, Games, Excel"," Games, Excel",Y
